里程,Meters,Flags,Event,左高程(mm),右高程(mm)
100,99.75,0040,0000,0.250,-0.130
100,99.50,0040,0000,0.360,-0.030
100,99.25,0040,0000,0.500,0.080
100,99.00,0040,0000,0.470,0.070
100,98.75,0040,0000,0.520,0.040
100,98.50,0040,0000,0.430,-0.030
100,98.25,0040,0000,0.390,-0.240
100,98.00,0040,0000,0.360,-0.300
100,97.75,0040,0000,0.370,-0.310
100,97.50,0040,0000,0.370,-0.130
100,97.25,0040,0000,0.340,-0.070
100,97.00,0040,0000,0.270,-0.050
100,96.75,0040,0000,0.280,0.030
100,96.50,0040,0000,0.270,0.060
100,96.25,0040,0000,0.290,0.230
100,96.00,0040,0000,0.220,0.210
100,95.75,0040,0000,0.240,0.260
100,95.50,0040,0000,0.370,0.210
100,95.25,0040,0000,0.530,0.270
100,95.00,0040,0000,0.580,0.420
100,94.75,0040,0000,0.540,0.500
100,94.50,0040,0000,0.460,0.550
100,94.25,0040,0000,0.520,0.590
100,94.00,0040,0000,0.620,0.650
100,93.75,0040,0000,0.680,0.680
100,93.50,0040,0000,0.640,0.620
100,93.25,0040,0000,0.610,0.600
100,93.00,0040,0000,0.550,0.560
100,92.75,0040,0000,0.550,0.520
100,92.50,0040,0000,0.530,0.490
100,92.25,0040,0000,0.510,0.530
100,92.00,0040,0000,0.340,0.320
100,91.75,0040,0000,0.270,0.280
100,91.50,0040,0000,0.160,0.180
100,91.25,0040,0000,0.220,0.320
100,91.00,0040,0000,0.100,0.210
100,90.75,0040,0000,0.030,0.160
100,90.50,0040,0000,-0.080,0.160
100,90.25,0040,0000,-0.080,0.240
100,90.00,0040,0000,-0.130,0.140
100,89.75,0040,0000,-0.140,-0.020
100,89.50,0040,0000,-0.200,-0.210
100,89.25,0040,0000,-0.270,-0.260
100,89.00,0040,0000,-0.290,-0.270
100,88.75,0040,0000,-0.220,-0.280
100,88.50,0040,0000,-0.120,-0.250
100,88.25,0040,0000,-0.040,-0.230
100,88.00,0040,0000,-0.030,-0.270
100,87.75,0040,0000,0.000,-0.310
100,87.50,0040,0000,0.000,-0.310
100,87.25,0040,0000,-0.040,-0.270
100,87.00,0040,0000,-0.020,-0.270
100,86.75,0040,0000,-0.090,-0.450
100,86.50,0040,0000,-0.080,-0.440
100,86.25,0040,0000,-0.190,-0.460
100,86.00,0040,0000,-0.240,-0.370
100,85.75,0040,0000,-0.290,-0.390
100,85.50,0040,0000,-0.280,-0.360
100,85.25,0040,0000,-0.230,-0.270
100,85.00,0040,0000,-0.110,0.030
100,84.75,0040,0000,-0.080,0.000
100,84.50,0040,0000,-0.070,0.000
100,84.25,0040,0000,-0.060,-0.320
100,84.00,0040,0000,0.000,-0.260
100,83.75,0040,0000,0.010,-0.240
100,83.50,0040,0000,-0.060,-0.160
100,83.25,0040,0000,-0.060,-0.060
100,83.00,0040,0000,-0.080,0.060
100,82.75,0040,0000,-0.020,0.160
100,82.50,0040,0000,0.060,0.300
100,82.25,0040,0000,0.180,0.340
100,82.00,0040,0000,0.450,0.380
100,81.75,0040,0000,0.450,0.300
100,81.50,0040,0000,0.440,0.240
100,81.25,0040,0000,0.260,0.190
100,81.00,0040,0000,0.270,0.210
100,80.75,0040,0000,0.340,0.310
100,80.50,0040,0000,0.370,0.320
100,80.25,0040,0000,0.440,0.340
100,80.00,0040,0000,0.440,0.310
100,79.75,0040,0000,0.500,0.310
100,79.50,0040,0000,0.520,0.270
100,79.25,0040,0000,0.480,0.270
100,79.00,0040,0000,0.510,0.230
100,78.75,0040,0000,0.460,0.200
100,78.50,0040,0000,0.380,0.100
100,78.25,0040,0000,0.280,0.070
100,78.00,0040,0000,0.130,0.050
100,77.75,0040,0000,0.200,0.090
100,77.50,0040,0000,0.250,0.100
100,77.25,0040,0000,0.370,0.060
100,77.00,0040,0000,0.470,0.030
100,76.75,0040,0000,0.490,-0.020
100,76.50,0040,0000,0.520,-0.040
100,76.25,0040,0000,0.480,-0.080
100,76.00,0040,0000,0.400,-0.040
100,75.75,0040,0000,0.370,0.030
100,75.50,0040,0000,0.280,0.130
100,75.25,0040,0000,0.370,0.200
100,75.00,0040,0000,0.400,0.200
100,74.75,0040,0000,0.480,0.150
100,74.50,0040,0000,0.470,0.140
100,74.25,0040,0000,0.420,0.140
100,74.00,0040,0000,0.400,0.210
100,73.75,0040,0000,0.270,0.210
100,73.50,0040,0000,0.200,0.220
100,73.25,0040,0000,0.070,0.100
100,73.00,0040,0000,-0.170,-0.010
100,72.75,0040,0000,-0.130,-0.070
100,72.50,0040,0000,-0.280,-0.150
100,72.25,0040,0000,-0.220,-0.180
100,72.00,0040,0000,-0.440,-0.250
100,71.75,0040,0000,-0.490,-0.250
100,71.50,0040,0000,-0.490,-0.200
100,71.25,0040,0000,-0.520,-0.150
100,71.00,0040,0000,-0.590,-0.090
100,70.75,0040,0000,-0.720,-0.080
100,70.50,0040,0000,-0.830,-0.100
100,70.25,0040,0000,-0.860,-0.210
100,70.00,0040,0000,-0.640,-0.340
100,69.75,0040,0000,-0.520,-0.480
100,69.50,0040,0000,-0.420,-0.560
100,69.25,0040,0000,-0.420,-0.340
100,69.00,0040,0000,-0.340,-0.270
100,68.75,0040,0000,-0.190,-0.170
100,68.50,0040,0000,-0.200,-0.290
100,68.25,0040,0000,-0.210,-0.170
100,68.00,0040,0000,-0.370,-0.120
100,67.75,0040,0000,-0.340,-0.060
100,67.50,0040,0000,-0.360,-0.130
100,67.25,0040,0000,-0.120,-0.140
100,67.00,0040,0000,-0.020,-0.170
100,66.75,0040,0000,0.090,-0.090
100,66.50,0040,0000,0.060,-0.010
100,66.25,0040,0000,-0.030,-0.050
100,66.00,0040,0000,-0.110,-0.090
100,65.75,0040,0000,-0.210,-0.090
100,65.50,0040,0000,-0.290,0.000
100,65.25,0040,0000,-0.280,0.120
100,65.00,0040,0000,-0.270,0.100
100,64.75,0040,0000,-0.200,0.070
100,64.50,0040,0000,-0.170,0.000
100,64.25,0040,0000,-0.110,-0.060
100,64.00,0040,0000,-0.110,-0.060
100,63.75,0040,0000,-0.110,-0.050
100,63.50,0040,0000,0.000,0.000
100,63.25,0040,0000,0.000,-0.010
100,63.00,0040,0000,-0.040,-0.280
100,62.75,0040,0000,-0.150,-0.250
100,62.50,0040,0000,-0.220,-0.180
100,62.25,0040,0000,-0.220,0.100
